address,balance,label,total_tx,mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0xb55443ed4394cf76fd394fb93dfbd90ab143ca30,11.078052390624732,southern_asia,43,5.989468655545817,0,0,1,1,3,7,9,4,4,0,7,4,0,1,1,0,1,0,0,0,0,0,0,0
0xfcf0ec35807113394176a6b4c912e4d195aff8f4,57.30331480290593,south_america,242,615.7831630641421,8,1,2,2,4,5,3,2,10,8,20,33,25,17,32,11,7,5,3,11,9,7,10,7
0xbb54a1260a44d862523b8dc7682b5ebe36839bc8,38.555951679134296,europe,202,64.99712385625354,3,0,2,0,1,5,11,7,19,17,16,17,10,4,7,3,2,10,10,14,8,20,15,1
0xac1c2783d64c29cdb79608f5b66a37fd1ea35dd6,95.27434023148011,europe,78,6.133722421092891,0,0,0,0,3,6,5,5,3,1,9,11,4,1,1,1,3,2,0,4,10,6,3,0
0x62aff1de51e60876182b772a906cf02582ffbcb2,62.84110975675756,europe,247,87.80512552167083,3,1,0,2,1,0,4,10,10,19,20,19,19,20,21,11,11,10,13,5,3,5,26,14
0xfebf33d0aba1b7420711829068646ccc5e91dd08,59.93936521772978,europe,180,54.44734222840322,0,0,0,0,0,3,0,9,10,29,10,20,10,11,14,10,4,6,10,10,9,1,11,3
0xe0c18c32f0838d9c295d9cff433f2eff9deacc2c,0.10984071018857999,southeast_asia,427,138.201021946493,4,22,19,32,32,25,34,22,22,30,9,7,9,18,24,33,34,25,16,4,2,1,0,3
0x0e10c415e2a7d652276a3ded645a33f2c9a4e163,149.1017053251919,southeast_asia,113,583.9627990257869,7,11,14,5,5,1,7,11,9,4,8,12,3,10,1,0,0,0,0,0,1,0,2,2
0xcb416ee0d4ff14680d6ad3d8bb19cc28219034ba,665.0415874716618,southeast_asia,755,80.8205690813677,57,87,38,58,54,33,59,52,45,35,33,33,51,25,17,15,7,1,4,1,0,0,22,28
0xa8e8c5adf3e714c682150d2f81ac8d5bfa2050b0,77.87933880924595,europe,378,33.673238391094486,0,0,0,4,20,26,39,28,34,24,11,26,24,20,28,20,11,12,14,11,13,7,3,3
